task_category,task_name,prompt,prediction,target,is_correct
Reasoning Primitive,var_assign_depth_1_math," u = d. Let x = 57. Let d = 35. What is g?
Answer:...","35

The problem is to find",35,False
Reasoning Primitive,var_assign_depth_1_math,"t v = t. Let t = 67. Let f = c. What is f?
Answer:...","67

The problem is to find",23,False
Reasoning Primitive,var_assign_depth_1_math,"t t = h. Let h = 3. Let f = 68. What is k?
Answer:...","68

The problem is to find",28,False
Reasoning Primitive,var_assign_depth_1_math," w = 59. Let e = w. Let b = 68. What is e?
Answer:...","68

The problem is to find",59,False
Reasoning Primitive,var_assign_depth_1_math," x = 38. Let r = 45. Let e = s. What is e?
Answer:...","38

In the

A",37,False
Reasoning Primitive,var_assign_depth_1_math,"t n = h. Let m = h. Let f = 10. What is n?
Answer:...","10

In the

A",90,False
Reasoning Primitive,var_assign_depth_1_math," z = t. Let t = 52. Let u = 34. What is s?
Answer:...","34

In the

A",52,False
Reasoning Primitive,var_assign_depth_1_math,"t v = r. Let b = 43. Let f = b. What is f?
Answer:...","43

The problem is to find",43,False
Reasoning Primitive,var_assign_depth_1_math,"t n = 63. Let h = v. Let s = n. What is q?
Answer:...","63

The problem is:",53,False
Reasoning Primitive,var_assign_depth_1_math,"t o = 63. Let n = o. Let p = q. What is p?
Answer:...","63

The problem is to find",69,False
Reasoning Primitive,var_assign_depth_1_math," g = i. Let i = 33. Let j = 13. What is s?
Answer:...","33

The problem is to find",13,False
Reasoning Primitive,var_assign_depth_1_math,"t s = k. Let u = 63. Let c = k. What is c?
Answer:...","63

In the

A",84,False
Reasoning Primitive,var_assign_depth_1_math,"t v = 53. Let b = e. Let z = e. What is h?
Answer:...","98

The problem is to find",53,False
Reasoning Primitive,var_assign_depth_1_math,"t j = v. Let z = 60. Let l = g. What is b?
Answer:...","60

In the

A",19,False
Reasoning Primitive,var_assign_depth_1_math,"t x = 33. Let o = x. Let z = u. What is o?
Answer:...","33

The problem is to find",33,False
Reasoning Primitive,var_assign_depth_1_math,"t g = p. Let c = 77. Let b = c. What is z?
Answer:...","77

The problem is to find",77,False
Reasoning Primitive,var_assign_depth_1_math," u = 44. Let y = 21. Let e = y. What is a?
Answer:...","21

In a 10",44,False
Reasoning Primitive,var_assign_depth_1_math,"t w = 76. Let y = c. Let k = w. What is y?
Answer:...","76

The problem is:",53,False
Reasoning Primitive,var_assign_depth_1_math,"t k = 8. Let u = 80. Let r = l. What is r?
Answer:...","80

Which of the",69,False
Reasoning Primitive,var_assign_depth_1_math,"t n = b. Let u = 38. Let q = b. What is q?
Answer:...","38

The problem is to find",21,False
Reasoning Primitive,var_assign_depth_1_math,"t i = 1. Let d = k. Let k = 84. What is c?
Answer:...","84

The problem is to find",84,False
Reasoning Primitive,var_assign_depth_1_math,"et s = x. Let t = x. Let z = 6. What is r?
Answer:...","6

The problem is to find the",6,False
Reasoning Primitive,var_assign_depth_1_math,"et l = e. Let y = s. Let g = 9. What is o?
Answer:...","9

The problem is to find the",94,False
Reasoning Primitive,var_assign_depth_1_math,"et b = d. Let z = d. Let y = d. What is b?
Answer:...","10

In the

A",10,False
Reasoning Primitive,var_assign_depth_1_math,"t u = h. Let a = p. Let l = 62. What is a?
Answer:...","62

Which is the",6,False
Reasoning Primitive,var_assign_depth_1_math,"t t = x. Let d = 16. Let v = x. What is r?
Answer:...","16

Which of the",29,False
Reasoning Primitive,var_assign_depth_1_math," w = 87. Let p = 58. Let b = p. What is b?
Answer:...","58

The problem is to find",58,False
Reasoning Primitive,var_assign_depth_1_math,"t j = 3. Let r = 97. Let x = k. What is w?
Answer:...","97

The problem is to find",3,False
Reasoning Primitive,var_assign_depth_1_math,"t n = 75. Let k = x. Let l = x. What is s?
Answer:...","75

The problem is:",66,False
Reasoning Primitive,var_assign_depth_1_math," m = 95. Let g = i. Let i = 67. What is h?
Answer:...","67

The problem is to find",67,False
Reasoning Primitive,var_assign_depth_1_math," o = 82. Let t = 34. Let a = o. What is b?
Answer:...","34

The problem is:",34,False
Reasoning Primitive,var_assign_depth_1_math,"t e = k. Let f = k. Let a = 14. What is f?
Answer:...","14

In the

A",23,False
Reasoning Primitive,var_assign_depth_1_math,"t r = w. Let q = 37. Let x = q. What is e?
Answer:...","37

In the

-",37,False
Reasoning Primitive,var_assign_depth_1_math,"t c = 63. Let l = o. Let q = o. What is l?
Answer:...","63

The problem is to find",65,False
Reasoning Primitive,var_assign_depth_1_math," e = m. Let q = 78. Let m = 70. What is i?
Answer:...","70

The problem is to find",78,False
Reasoning Primitive,var_assign_depth_1_math,"t h = y. Let k = b. Let y = 86. What is h?
Answer:...","86

The problem is to find",86,False
Reasoning Primitive,var_assign_depth_1_math,"t p = q. Let u = d. Let d = 98. What is u?
Answer:...","98

The problem is to find",98,False
Reasoning Primitive,var_assign_depth_1_math,"t o = v. Let n = g. Let w = 67. What is c?
Answer:...","67

The problem is to find",93,False
Reasoning Primitive,var_assign_depth_1_math,"et d = 8. Let v = c. Let y = d. What is v?
Answer:...","8

In the

-",83,False
Reasoning Primitive,var_assign_depth_1_math,"t f = e. Let t = e. Let e = 64. What is f?
Answer:...","64

The problem is to find",64,False
Reasoning Primitive,var_assign_depth_1_math," z = 49. Let p = 14. Let j = a. What is m?
Answer:...","14

In the

A",49,False
Reasoning Primitive,var_assign_depth_1_equation,"= 68. u := x. h := k. k := 41. p := 81. u?
Answer:...","41.

So, the",68,False
Reasoning Primitive,var_assign_depth_1_equation," := g. m := 27. f := m. x := p. a := m. f?
Answer:...","33.

But the",27,False
Reasoning Primitive,var_assign_depth_1_equation," := 75. u := g. p := i. m := g. g := 8. u?
Answer:...","8.

But the

```",8,False
Reasoning Primitive,var_assign_depth_1_equation,":= y. t := b. s := y. y := 28. b := 72. t?
Answer:...","54.

So, the",72,False
Reasoning Primitive,var_assign_depth_1_equation," := k. m := y. y := 1. v := k. q := 51. v?
Answer:...","51.

So, the",52,False
Reasoning Primitive,var_assign_depth_1_equation,":= s. r := v. q := f. s := 52. v := 46. g?
Answer:...","57.

So, the",52,False
Reasoning Primitive,var_assign_depth_1_equation,":= q. q := 85. e := q. b := 12. t := b. x?
Answer:...","12.

But the",85,False
Reasoning Primitive,var_assign_depth_1_equation,":= b. l := m. m := 26. f := 77. w := m. p?
Answer:...","4

.

.",14,False
Reasoning Primitive,var_assign_depth_1_equation,":= 93. w := i. i := 28. g := o. h := i. g?
Answer:...","8

.

.",57,False
Reasoning Primitive,var_assign_depth_1_equation,":= 72. f := x. g := e. a := 17. s := a. s?
Answer:...","17.

But the",17,False
Reasoning Primitive,var_assign_depth_1_equation,":= 4. k := 42. x := 29. b := q. c := x. n?
Answer:...","57.

So, the",42,False
Reasoning Primitive,var_assign_depth_1_equation,":= s. l := r. s := 29. g := s. p := 13. x?
Answer:...","13.

The average of the",29,False
Reasoning Primitive,var_assign_depth_1_equation,"= 27. m := s. z := 93. x := s. s := 56. x?
Answer:...","66.

But the",56,False
Reasoning Primitive,var_assign_depth_1_equation,":= 30. o := r. r := 3. p := 54. l := w. o?
Answer:...","54.

But the",3,False
Reasoning Primitive,var_assign_depth_1_equation," := 8. u := c. y := v. g := v. c := 37. y?
Answer:...","55.

So, the",8,False
Reasoning Primitive,var_assign_depth_1_equation,":= k. b := k. k := 48. x := k. o := 11. b?
Answer:...","11.

But the",48,False
Reasoning Primitive,var_assign_depth_1_equation,"= 83. n := 71. v := 29. p := q. y := n. y?
Answer:...","44.

.

.",71,False
Reasoning Primitive,var_assign_depth_1_equation,":= q. w := 82. o := w. e := q. t := 50. l?
Answer:...","50.

So, the",3,False
Reasoning Primitive,var_assign_depth_1_equation,"= 39. v := w. y := 81. b := 31. l := y. c?
Answer:...","19.

But the",53,False
Reasoning Primitive,var_assign_depth_1_equation,":= 74. s := x. f := 21. q := v. j := x. a?
Answer:...","1

.

.",55,False
Reasoning Primitive,var_assign_depth_1_equation," := 14. p := k. t := k. o := k. q := 6. p?
Answer:...","6.

But the

```",67,False
Reasoning Primitive,var_assign_depth_1_equation," := a. a := 95. h := a. z := p. f := d. z?
Answer:...","19.

But the",19,False
Reasoning Primitive,var_assign_depth_1_equation,":= j. k := 34. p := j. j := 10. o := k. o?
Answer:...","10.

But the",34,False
Reasoning Primitive,var_assign_depth_1_equation,"= 99. m := 36. x := 85. i := m. s := b. r?
Answer:...","34

.

So,",99,False
Reasoning Primitive,var_assign_depth_1_equation,":= v. y := 56. o := y. r := v. v := 39. r?
Answer:...","48.

The average of the",39,False
Reasoning Primitive,var_assign_depth_1_equation,":= l. z := 38. a := b. l := 46. u := y. u?
Answer:...","56.

So, the",54,False
Reasoning Primitive,var_assign_depth_1_equation,":= 64. n := o. e := m. m := 86. s := o. n?
Answer:...","64.

But the",64,False
Reasoning Primitive,var_assign_depth_1_equation,"= 22. o := 26. m := n. n := 12. t := n. t?
Answer:...","44.

But the",12,False
Reasoning Primitive,var_assign_depth_1_equation,":= v. d := 53. l := v. v := 33. g := v. l?
Answer:...","42.

But the",33,False
Reasoning Primitive,var_assign_depth_1_equation,"c := h. h := 4. y := i. p := i. i := 9. y?
Answer:...","55.

The average of the",9,False
Reasoning Primitive,var_assign_depth_1_equation,":= u. u := 99. f := q. r := 7. l := 15. d?
Answer:...","15.

But the",7,False
Reasoning Primitive,var_assign_depth_1_equation," := k. o := 69. w := y. z := o. x := r. w?
Answer:...","69.

But the",78,False
Reasoning Primitive,var_assign_depth_1_equation," := 75. u := d. o := 8. e := x. r := x. u?
Answer:...","8.

.

.",75,False
Reasoning Primitive,var_assign_depth_1_equation,"= 60. h := n. n := 66. g := 59. l := g. h?
Answer:...","64.

But the",66,False
Reasoning Primitive,var_assign_depth_1_equation,":= b. b := 81. s := 45. x := s. g := b. z?
Answer:...","45.

But the",81,False
Reasoning Primitive,var_assign_depth_1_equation,"= 15. g := w. w := 12. a := 81. i := w. r?
Answer:...","81.

So, the",12,False
Reasoning Primitive,var_assign_depth_1_equation,":= f. y := 53. f := 85. r := f. k := f. r?
Answer:...","64.

.

.",85,False
Reasoning Primitive,var_assign_depth_1_equation,":= p. z := p. f := 95. u := f. p := 33. z?
Answer:...","44.

But the",33,False
Reasoning Primitive,var_assign_depth_1_equation,":= 64. m := b. t := y. s := b. b := 18. t?
Answer:...","18.

But the",75,False
Reasoning Primitive,var_assign_depth_1_equation,":= m. m := 63. a := q. q := 36. w := q. i?
Answer:...","34.

But the",63,False
Reasoning Primitive,var_assign_depth_1_equation,":= b. s := b. t := f. z := 60. f := 81. t?
Answer:...","12.

But the",81,False
Reasoning Primitive,var_assign_depth_1_equation,"= d. s := e. d := 93. w := 44. e := 60. s?
Answer:...","44.

But the",60,False
Reasoning Primitive,var_assign_depth_1_equation," := r. r := 47. m := b. b := 1. o := b. o?
Answer:...","47.

So, the",1,False
Reasoning Primitive,var_assign_depth_1_equation," := e. k := 31. c := n. e := 0. a := k. g?
Answer:...","75.

But the",0,False
Reasoning Primitive,var_assign_depth_1_equation,":= v. w := 8. v := 69. i := w. r := 41. m?
Answer:...","4

.

The above code",69,False
Reasoning Primitive,var_assign_depth_1_equation,"= 50. m := 72. s := 76. b := s. n := m. n?
Answer:...","7

.

.",72,False
Reasoning Primitive,var_assign_depth_1_equation,":= y. y := 44. q := b. z := y. b := 12. z?
Answer:...","12.

The 12",44,False
Reasoning Primitive,var_assign_depth_1_equation," := l. w := 1. l := 44. e := 0. z := w. p?
Answer:...","44.

So, the",44,False
Reasoning Primitive,var_assign_depth_1_equation," := i. s := b. q := i. i := 66. b := 8. q?
Answer:...","9

.

So, the",66,False
Reasoning Primitive,var_assign_depth_1_equation," := 3. s := 19. l := s. q := s. h := i. h?
Answer:...","19.

So, the",4,False
